Timestamp,Project,Model,Unit,Price,"Cashflow index",Deposit,"Closing Cost","Mortgage Payment","Mortgage Principal","Mortgage Interest",Rent,"Rent Expense","Rental Net Income","Net Cash Flow","Corresponding Date"
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,0,10000,0,0,0,0,0,0,0,-10000,2023-12-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,1,50995,0,0,0,0,0,0,0,-50995,2024-01-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,2,0,0,0,0,0,0,0,0,0,2024-02-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,3,30497.5,0,0,0,0,0,0,0,-30497.5,2024-03-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,4,0,0,0,0,0,0,0,0,0,2024-04-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,5,0,0,0,0,0,0,0,0,0,2024-05-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,6,30497.5,0,0,0,0,0,0,0,-30497.5,2024-06-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,7,0,0,0,0,0,0,0,0,0,2024-07-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,8,0,0,0,0,0,0,0,0,0,2024-08-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,9,0,0,0,0,0,0,0,0,0,2024-09-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,10,0,0,0,0,0,0,0,0,0,2024-10-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,11,0,0,0,0,0,0,0,0,0,2024-11-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,12,0,0,0,0,0,0,0,0,0,2024-12-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,13,0,0,0,0,0,0,0,0,0,2025-01-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,14,0,0,0,0,0,0,0,0,0,2025-02-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,15,0,0,0,0,0,0,0,0,0,2025-03-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,16,0,0,0,0,0,0,0,0,0,2025-04-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,17,0,0,0,0,0,0,0,0,0,2025-05-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,18,0,0,0,0,0,0,0,0,0,2025-06-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,19,0,0,0,0,0,0,0,0,0,2025-07-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,20,60995,0,0,0,0,0,0,0,-60995,2025-08-01
"2023-12-19 03:35:28",Parkhaus,"TYPE 2",,1219900,21,60995,48795.998909324,5851,972,4879,3401,1348,2053,208286.07322225,2025-09-01
"2023-12-19 03:41:08",Parkhaus,"TYPE 2",,1219900,0,10000,0,0,0,0,0,0,0,-10000,2023-12-01
"2023-12-19 03:41:08",Parkhaus,"TYPE 2",,1219900,1,50995,0,0,0,0,0,0,0,-50995,2024-01-01
"2023-12-19 03:41:08",Parkhaus,"TYPE 2",,1219900,2,0,0,0,0,0,0,0,0,0,2024-02-01
"2023-12-19 03:41:08",Parkhaus,"TYPE 2",,1219900,3,30497.5,0,0,0,0,0,0,0,-30497.5,2024-03-01
"2023-12-19 03:41:08",Parkhaus,"TYPE 2",,1219900,4,0,0,0,0,0,0,0,0,0,2024-04-01
"2023-12-19 03:41:08",Parkhaus,"TYPE 2",,1219900,5,0,0,0,0,0,0,0,0,0,2024-05-01
"2023-12-19 03:41:08",Parkhaus,"TYPE 2",,1219900,6,30497.5,0,0,0,0,0,0,0,-30497.5,2024-06-01
"2023-12-19 03:41:08",Parkhaus,"TYPE 2",,1219900,7,0,0,0,0,0,0,0,0,0,2024-07-01
"2023-12-19 03:41:08",Parkhaus,"TYPE 2",,1219900,8,0,0,0,0,0,0,0,0,0,2024-08-01
"2023-12-19 03:41:08",Parkhaus,"TYPE 2",,1219900,9,0,0,0,0,0,0,0,0,0,2024-09-01
"2023-12-19 03:41:08",Parkhaus,"TYPE 2",,1219900,10,0,0,0,0,0,0,0,0,0,2024-10-01
